,f_load,year,month,day,hour,weekday,holiday,fz,LUZ0
2015-01-01T00:00:00,7632,2015,1,1,0,3,1,0,-0.68
2015-01-01T01:00:00,7640,2015,1,1,1,3,1,1,-0.97
2015-01-01T02:00:00,7391,2015,1,1,2,3,1,2,-1.25
2015-01-01T03:00:00,7333,2015,1,1,3,3,1,2,-1.67
2015-01-01T04:00:00,7002,2015,1,1,4,3,1,2,-2.3
2015-01-01T05:00:00,7043,2015,1,1,5,3,1,1,-2.57
2015-01-01T06:00:00,6837,2015,1,1,6,3,1,2,-2.84
2015-01-01T07:00:00,6617,2015,1,1,7,3,1,2,-3.26
2015-01-01T08:00:00,6560,2015,1,1,8,3,1,2,-4.12
2015-01-01T09:00:00,6810,2015,1,1,9,3,1,1,-3.71
2015-01-01T10:00:00,6837,2015,1,1,10,3,1,1,-4.15
2015-01-01T11:00:00,6611,2015,1,1,11,3,1,2,-4.42
2015-01-01T12:00:00,7136,2015,1,1,12,3,1,1,-4.22
2015-01-01T13:00:00,7071,2015,1,1,13,3,1,2,-4.12
2015-01-01T14:00:00,7079,2015,1,1,14,3,1,1,-4.64
2015-01-01T15:00:00,7075,2015,1,1,15,3,1,2,-4.42
2015-01-01T16:00:00,7323,2015,1,1,16,3,1,1,-4.09
2015-01-01T17:00:00,7617,2015,1,1,17,3,1,1,-3.5
2015-01-01T18:00:00,7801,2015,1,1,18,3,1,1,-2.81
2015-01-01T19:00:00,7706,2015,1,1,19,3,1,2,-2.15
2015-01-01T20:00:00,7445,2015,1,1,20,3,1,2,-1.62
2015-01-01T21:00:00,7358,2015,1,1,21,3,1,2,-1.33
2015-01-01T22:00:00,7449,2015,1,1,22,3,1,1,-1.22
2015-01-01T23:00:00,7234,2015,1,1,23,3,1,2,-1.36
2015-01-02T00:00:00,7064,2015,1,2,0,4,1,2,-1.77
2015-01-02T01:00:00,7044,2015,1,2,1,4,1,2,-2.0
2015-01-02T02:00:00,7184,2015,1,2,2,4,1,1,-2.17
2015-01-02T03:00:00,7104,2015,1,2,3,4,1,2,-2.43
2015-01-02T04:00:00,6972,2015,1,2,4,4,1,2,-2.74
2015-01-02T05:00:00,6786,2015,1,2,5,4,1,2,-2.74
2015-01-02T06:00:00,6780,2015,1,2,6,4,1,2,-2.68
2015-01-02T07:00:00,6692,2015,1,2,7,4,1,2,-2.56
2015-01-02T08:00:00,6817,2015,1,2,8,4,1,1,-2.69
2015-01-02T09:00:00,7097,2015,1,2,9,4,1,1,-3.14
2015-01-02T10:00:00,7205,2015,1,2,10,4,1,1,-3.39
2015-01-02T11:00:00,7120,2015,1,2,11,4,1,2,-3.39
2015-01-02T12:00:00,7516,2015,1,2,12,4,1,1,-2.72
2015-01-02T13:00:00,7446,2015,1,2,13,4,1,2,-2.85
2015-01-02T14:00:00,7307,2015,1,2,14,4,1,2,-3.24
2015-01-02T15:00:00,7276,2015,1,2,15,4,1,2,-2.9
2015-01-02T16:00:00,7504,2015,1,2,16,4,1,1,-2.89
2015-01-02T17:00:00,8060,2015,1,2,17,4,1,1,-1.42
2015-01-02T18:00:00,8157,2015,1,2,18,4,1,1,-0.5
2015-01-02T19:00:00,7919,2015,1,2,19,4,1,2,1.21
2015-01-02T20:00:00,7545,2015,1,2,20,4,1,2,1.59
2015-01-02T21:00:00,7372,2015,1,2,21,4,1,2,1.96
2015-01-02T22:00:00,7378,2015,1,2,22,4,1,1,2.2
2015-01-02T23:00:00,7100,2015,1,2,23,4,1,2,2.2
2015-01-03T00:00:00,6934,2015,1,3,0,5,0,2,2.19
2015-01-03T01:00:00,6927,2015,1,3,1,5,0,2,2.27
2015-01-03T02:00:00,6984,2015,1,3,2,5,0,1,2.34
2015-01-03T03:00:00,6916,2015,1,3,3,5,0,2,2.25
2015-01-03T04:00:00,6750,2015,1,3,4,5,0,2,2.03
2015-01-03T05:00:00,6855,2015,1,3,5,5,0,1,2.23
2015-01-03T06:00:00,6891,2015,1,3,6,5,0,1,2.05
2015-01-03T07:00:00,6874,2015,1,3,7,5,0,2,2.14
2015-01-03T08:00:00,6967,2015,1,3,8,5,0,1,1.89
2015-01-03T09:00:00,7213,2015,1,3,9,5,0,1,1.94
2015-01-03T10:00:00,7324,2015,1,3,10,5,0,1,1.62
2015-01-03T11:00:00,7390,2015,1,3,11,5,0,1,1.82
2015-01-03T12:00:00,7517,2015,1,3,12,5,0,1,1.63
2015-01-03T13:00:00,7700,2015,1,3,13,5,0,1,1.58
2015-01-03T14:00:00,7786,2015,1,3,14,5,0,1,1.56
2015-01-03T15:00:00,7985,2015,1,3,15,5,0,1,1.68
2015-01-03T16:00:00,8029,2015,1,3,16,5,0,1,1.9
2015-01-03T17:00:00,8169,2015,1,3,17,5,0,1,1.9
2015-01-03T18:00:00,8135,2015,1,3,18,5,0,2,2.53
2015-01-03T19:00:00,7827,2015,1,3,19,5,0,2,3.04
2015-01-03T20:00:00,7370,2015,1,3,20,5,0,2,3.18
2015-01-03T21:00:00,7137,2015,1,3,21,5,0,2,3.74
2015-01-03T22:00:00,7093,2015,1,3,22,5,0,2,3.95
2015-01-03T23:00:00,6951,2015,1,3,23,5,0,2,4.99
2015-01-04T00:00:00,7047,2015,1,4,0,6,0,1,6.78
2015-01-04T01:00:00,6996,2015,1,4,1,6,0,2,7.03
2015-01-04T02:00:00,6842,2015,1,4,2,6,0,2,7.36
2015-01-04T03:00:00,6671,2015,1,4,3,6,0,2,7.97
2015-01-04T04:00:00,6533,2015,1,4,4,6,0,2,9.08
2015-01-04T05:00:00,6594,2015,1,4,5,6,0,1,9.43
2015-01-04T06:00:00,6528,2015,1,4,6,6,0,2,9.44
2015-01-04T07:00:00,6394,2015,1,4,7,6,0,2,9.35
2015-01-04T08:00:00,6684,2015,1,4,8,6,0,1,9.76
2015-01-04T09:00:00,6829,2015,1,4,9,6,0,1,9.27
2015-01-04T10:00:00,7013,2015,1,4,10,6,0,1,9.19
2015-01-04T11:00:00,7130,2015,1,4,11,6,0,1,8.76
2015-01-04T12:00:00,7166,2015,1,4,12,6,0,1,7.82
2015-01-04T13:00:00,7103,2015,1,4,13,6,0,2,7.21
2015-01-04T14:00:00,7048,2015,1,4,14,6,0,2,6.12
2015-01-04T15:00:00,7082,2015,1,4,15,6,0,1,5.27
2015-01-04T16:00:00,7474,2015,1,4,16,6,0,1,4.8
2015-01-04T17:00:00,8017,2015,1,4,17,6,0,1,4.56
2015-01-04T18:00:00,8061,2015,1,4,18,6,0,1,4.83
2015-01-04T19:00:00,7944,2015,1,4,19,6,0,2,5.38
2015-01-04T20:00:00,7633,2015,1,4,20,6,0,2,5.8
2015-01-04T21:00:00,7438,2015,1,4,21,6,0,2,5.77
2015-01-04T22:00:00,7293,2015,1,4,22,6,0,2,5.09
2015-01-04T23:00:00,7031,2015,1,4,23,6,0,2,4.22
2015-01-05T00:00:00,6982,2015,1,5,0,0,0,2,3.29
2015-01-05T01:00:00,7182,2015,1,5,1,0,0,1,2.92
2015-01-05T02:00:00,7217,2015,1,5,2,0,0,1,2.46
2015-01-05T03:00:00,7346,2015,1,5,3,0,0,1,1.63
2015-01-05T04:00:00,7256,2015,1,5,4,0,0,2,0.96
2015-01-05T05:00:00,7484,2015,1,5,5,0,0,1,0.6
2015-01-05T06:00:00,7917,2015,1,5,6,0,0,1,0.19
2015-01-05T07:00:00,8725,2015,1,5,7,0,0,1,-0.38
2015-01-05T08:00:00,9185,2015,1,5,8,0,0,1,-0.7
2015-01-05T09:00:00,9254,2015,1,5,9,0,0,1,-1.33
2015-01-05T10:00:00,9144,2015,1,5,10,0,0,2,-1.83
2015-01-05T11:00:00,9077,2015,1,5,11,0,0,2,-2.16
2015-01-05T12:00:00,8781,2015,1,5,12,0,0,2,-2.34
2015-01-05T13:00:00,8720,2015,1,5,13,0,0,2,-2.53
2015-01-05T14:00:00,8604,2015,1,5,14,0,0,2,-2.89
2015-01-05T15:00:00,8721,2015,1,5,15,0,0,1,-2.84
2015-01-05T16:00:00,8760,2015,1,5,16,0,0,1,-2.97
2015-01-05T17:00:00,9220,2015,1,5,17,0,0,1,-2.21
2015-01-05T18:00:00,9399,2015,1,5,18,0,0,1,-0.55
2015-01-05T19:00:00,9078,2015,1,5,19,0,0,2,1.02
2015-01-05T20:00:00,8631,2015,1,5,20,0,0,2,2.24
2015-01-05T21:00:00,8318,2015,1,5,21,0,0,2,3.04
2015-01-05T22:00:00,8135,2015,1,5,22,0,0,2,3.1
2015-01-05T23:00:00,7755,2015,1,5,23,0,0,2,2.23
2015-01-06T00:00:00,7537,2015,1,6,0,1,0,2,1.18
2015-01-06T01:00:00,7486,2015,1,6,1,1,0,2,0.16
2015-01-06T02:00:00,7444,2015,1,6,2,1,0,2,-0.71
2015-01-06T03:00:00,7563,2015,1,6,3,1,0,1,-1.08
2015-01-06T04:00:00,7433,2015,1,6,4,1,0,2,-1.56
2015-01-06T05:00:00,7662,2015,1,6,5,1,0,1,-1.75
2015-01-06T06:00:00,8098,2015,1,6,6,1,0,1,-2.15
2015-01-06T07:00:00,8891,2015,1,6,7,1,0,1,-2.12
2015-01-06T08:00:00,9310,2015,1,6,8,1,0,1,-2.5
2015-01-06T09:00:00,9279,2015,1,6,9,1,0,2,-2.72
2015-01-06T10:00:00,9229,2015,1,6,10,1,0,2,-2.99
2015-01-06T11:00:00,9123,2015,1,6,11,1,0,2,-3.07
2015-01-06T12:00:00,8880,2015,1,6,12,1,0,2,-3.41
